feature,importance_mean,importance_std
lag1_media_portugues,0.011387453508377087,0.0014553868785106177
nome_regiao,0.005879746883535919,0.0007676192152962731
sigla_uf,0.0030393410425655354,0.0002899201102701447
populacao,0.0024911866499256917,0.00030027165135132174
lag1_uf_media_portugues,0.0023939503788388272,0.00042346541514018014
lag1_taxa_alfabetizacao,0.0023154461921902183,0.0007596602176519244
gap_meta,0.0017056280732744566,0.0007190504442857263
meta_alfabetizacao_2024,0.0017007398878344793,0.001017296081082387
rede,0.001275836066995284,0.00011604518125172198
lag1_uf_taxa_alfabetizacao,0.0008545295501447781,0.0003703132857032429
uf_meta_alfabetizacao_2024,0.0008265038344274833,0.0004070860186338627
ivs_renda_trabalho,0.0003143028145059512,0.00019990744132890792
ivs_infraestrutura_urbana,0.00021656413664927765,0.0002106754918421416
amazonia_legal,5.716352044105033e-05,7.376929029199845e-05
capital_uf,-4.283866976617645e-06,5.190281542637253e-06
ivs,-0.00019221260567197084,0.00014569083346290765
pib_per_capita,-0.0003222000767914013,6.712350974998596e-05
ivs_capital_humano,-0.0008096687378282175,0.0002420530950888896
