nome_regiao,n_municipios,taxa_prevista_media,risco_medio,n_alunos
Norte,101,0.4246645628119954,0.5753354371880046,5379
Nordeste,350,0.5280852522542352,0.47191474774576475,10914
Sul,237,0.5316151465032061,0.46838485349679393,9055
Sudeste,309,0.6181514073257396,0.3818485926742603,19225
Centro-Oeste,102,0.6255445231981781,0.3744554768018219,4784
