feature,coef,odds_ratio,abs_coef
cat__sigla_uf_RS,-0.4200441622413405,0.6570178037955391,0.4200441622413405
cat__nome_regiao_Sul,-0.33360094294214865,0.7163395855649342,0.33360094294214865
cat__sigla_uf_RN,-0.2785392883474109,0.7568885302662132,0.2785392883474109
cat__sigla_uf_DF,-0.26970864376638587,0.7636019421153413,0.26970864376638587
num__lag1_media_portugues,0.2461593627780799,1.2791033987713092,0.2461593627780799
cat__sigla_uf_GO,0.2269601045095503,1.2547798068858786,0.2269601045095503
cat__sigla_uf_SE,0.2098174246162318,1.2334528412718198,0.2098174246162318
num__lag1_taxa_alfabetizacao,0.20253703414195132,1.2245054327902218,0.20253703414195132
cat__sigla_uf_PR,0.2022121822425415,1.2241077144778143,0.2022121822425415
cat__sigla_uf_BA,-0.20218729085858012,0.8169419078617193,0.20218729085858012
cat__sigla_uf_MG,0.18417517813621165,1.202226408432323,0.18417517813621165
cat__sigla_uf_PI,0.18372563112613943,1.2016860726072598,0.18372563112613943
cat__sigla_uf_AP,0.16991802024879507,1.1852076843064705,0.16991802024879507
cat__sigla_uf_MS,0.16763643539290565,1.1825066149340908,0.16763643539290565
cat__sigla_uf_AC,-0.16374305027841343,0.8489601339271425,0.16374305027841343
cat__sigla_uf_TO,0.15995405676203014,1.1734569573410973,0.15995405676203014
cat__nome_regiao_Centro-Oeste,0.13732193466346698,1.1471974116905646,0.13732193466346698
cat__nome_regiao_Sudeste,0.1324230883792148,1.1415912110822968,0.1324230883792148
cat__sigla_uf_RO,-0.13123751389811153,0.8770094477191746,0.13123751389811153
cat__sigla_uf_AL,0.12560505206509212,1.1338342743362755,0.12560505206509212
cat__sigla_uf_SC,-0.11576896294334908,0.8906809798398615,0.11576896294334908
num__lag1_uf_media_portugues,0.09960100614547272,1.1047300496288823,0.09960100614547272
cat__nome_regiao_Nordeste,0.0896637200604766,1.093806396703234,0.0896637200604766
num__populacao,0.08456576328979562,1.088244408411229,0.08456576328979562
cat__sigla_uf_RJ,-0.08016338650518634,0.9229655339536129,0.08016338650518634
num__ivs_infraestrutura_urbana,-0.07163356132256912,0.9308719408041972,0.07163356132256912
num__gap_meta,-0.06782651692402182,0.9344225660176756,0.06782651692402182
num__capital_uf,-0.057094860412608195,0.9445044690331855,0.057094860412608195
cat__sigla_uf_PE,0.05393980974107964,1.055421074175492,0.05393980974107964
cat__sigla_uf_AM,-0.05205513844807488,0.9492765237655305,0.05205513844807488
num__lag1_uf_taxa_alfabetizacao,0.047366409335729845,1.0485061211355906,0.047366409335729845
cat__rede_estadual,0.04621037116996339,1.0472947083971116,0.04621037116996339
cat__sigla_uf_ES,0.04134565829492454,1.0422122926150839,0.04134565829492454
num__ivs,0.04004164406425482,1.04085411868566,0.04004164406425482
num__amazonia_legal,-0.03503054717854592,0.9655759201870243,0.03503054717854592
cat__sigla_uf_MA,0.03460821782412139,1.0352140509266778,0.03460821782412139
num__uf_meta_alfabetizacao_2024,-0.034259908627194094,0.9663203170089812,0.034259908627194094
cat__rede_municipal,-0.03410381435993377,0.9664711658438164,0.03410381435993377
cat__sigla_uf_CE,-0.030161439576096613,0.9702888778784999,0.030161439576096613
num__meta_alfabetizacao_2024,-0.020363354961637107,0.9798425779538437,0.020363354961637107
